volume_target,volume_measured,average_deviation,variability,time,aspirate_speed,dispense_speed,aspirate_wait_time,dispense_wait_time,retract_speed,blowout_vol,post_asp_air_vol,overaspirate_vol,volume_ml,volume_ul,status,accuracy_tolerance_met,precision_tolerance_met
50,48.99470899,2.010582011,2.291886196,62.82270614,14,19,29.27736488,0,6.884652394,0.181807953,0.009036621,0.004960957,0.05,50,success,TRUE,TRUE
25,24.68253968,1.26984127,1.422550053,57.91531404,14,19,29.27736488,0,6.884652394,0.152348653,0.009036621,0.001414124,0.025,25,success,TRUE,TRUE
100,98.73015873,1.26984127,0.442122186,59.90477816,14,19,29.27736488,0,6.884652394,0.083705181,0.009036621,0.017193488,0.1,100,success,TRUE,TRUE
