aspirate_speed,dispense_speed,aspirate_wait_time,pre_asp_air_vol,overaspirate_vol,volume_target,dispense_wait_time,post_retract_wait_time,volume_measured,time,average_deviation,variability
17,18,2.7,0.3,0.0014,5.0,0.0,0.0,4.7696969696973,27.413651099987327,4.606060606052551,2.966357695022346
17,18,2.7,0.104,0.0017612299465228,10.0,0.0,0.0,10.163636363635899,20.846138739958405,3.8181818181844407,4.118377256971214
17,18,2.7,0.104,0.0022926767676771,20.0,0.0,0.0,20.0181818181819,21.39665443971753,0.9999999999978846,1.1754931067678909
17,18,2.7,0.104,0.0038,50.0,0.0,0.0,49.799999999999805,23.515464319847524,1.200000000000323,1.5240329656625586
