aspirate_speed,dispense_speed,aspirate_wait_time,blowout_vol,pre_asp_air_vol,overaspirate_vol,volume_target,dispense_wait_time,post_retract_wait_time,volume_measured,time,average_deviation,variability
10,5,4.5,0.298,0.069,0.0018,2,1.5,0,2.01980198,29.85505237,6.270627063,7.781621503
10,5,4.5,0.3,0.056,0.0017,5,1.5,0,4.924092409,29.89627773,3.762376238,4.411389456
10,5,4.5,0.139,0,0.002407341,10,1.5,0,10.24422442,28.7394885,2.442244224,3.1781862
10,5,4.5,0.139,0,0.003058212,25,1.5,0,24.25082508,29.1297998,2.99669967,2.46366881
10,5,4.5,0.139,0,0.0064,50,1.5,0,49.71617162,29.6288971,0.567656766,0.622590233
