aspirate_speed,dispense_speed,aspirate_wait_time,retract_speed,blowout_vol,post_asp_air_vol,pre_asp_air_vol,dispense_wait_time,asp_disp_cycles,overaspirate_vol,volume_target,post_retract_wait_time,volume_measured,volume_target_ul,time,average_deviation,variability,trials_count,status,measurement_count
16,16,29.2,2,1,0,0.207,1.5,0,0.0134857142857135,70,5,69.36507936507937,70,68.7031681,10.14739229,100.0,1,success,3
16,16,29.2,2,1,0,0.207,1.5,0,0.0206485089325709,100,5,102.63888888888818,100,70.47016413,2.301587302,1.151701615,1,success,3
16,16,29.2,2,1,0,0.207,1.5,0,0.0317206199224603,150,5,151.0052910052906,150,72.6030848,1.25808348,1.953853144,1,success,3
16,16,29.2,2,1,0,0.207,1.5,0,0.0457635497576168,200,5,206.9576719576727,200,65.4032668,1.574074074,2.166279674,57,success,3
