experiment_id,dataset_source,deviation,time,aspirate_speed,dispense_speed,aspirate_wait_time,dispense_wait_time,retract_speed,blowout_vol,post_asp_air_vol,overaspirate_vol,volume,average_calculated_volume,variability,trial_index,strategy,liquid,time_reported,trial_type,trial_number
20251021_182300_water,large_set_Oct22,3.00000000000225,33.69981336593628,16,19,7.123444080352783,0.3101321682333946,8.599982023239136,0.0785212039947509,0.0859813809394836,0.0064255101978778,0.05,0.0484999999999988,0.0,0,SOBOL,water,2025-10-21T18:23:49.051004,,
20251021_182300_water,large_set_Oct22,13.399999999999327,32.761066198349,25,23,3.656056998297572,6.440631775185466,7.6823865212500095,0.1447333527728915,0.0252735487185418,0.0022807846334762,0.05,0.0433000000000003,0.0,1,SOBOL,water,2025-10-21T18:24:21.840886,,
20251021_182300_water,large_set_Oct22,15.80000000000084,70.19625496864319,35,11,8.466772986575961,4.880218422040343,1.0531750712543726,0.1650981204584241,0.0749737513251602,0.0008643051213584,0.05,0.0420999999999995,0.0,2,SOBOL,water,2025-10-21T18:25:32.079911,,
20251021_182300_water,large_set_Oct22,0.5999999999971861,30.368655681610107,13,30,2.011061888188124,8.749975934624672,14.135526606813071,0.0113791415467858,0.013771509937942,0.004073561313562,0.05,0.0497000000000014,0.0,3,SOBOL,water,2025-10-21T18:26:02.476176,,
20251021_182300_water,large_set_Oct22,5.799999999999278,29.75481343269348,11,13,4.74262073636055,9.459731867536902,12.406262280419469,0.0531641945242881,0.0559088130481541,0.001727947415784,0.05,0.0471000000000003,0.0,4,SOBOL,water,2025-10-21T18:26:32.260871,,
20251021_182300_water,large_set_Oct22,4.000000000002752,27.21117353439331,16,23,2.3607027202282,6.110382285839132,9.989682335150109,0.0043569766838212,0.0244701641007744,0.0066242378169828,0.05,0.0520000000000013,0.0,5,Bayesian,water,2025-10-21T18:28:10.661854,,
20251021_182300_water,large_set_Oct22,23.20000000000136,37.883923292160034,16,35,7.2933810948348015,4.598178006184406,10.9787931125423,0.0,0.0,0.0032393905720213,0.05,0.0383999999999993,0.0,6,Bayesian,water,2025-10-21T18:28:56.262920,,
20251021_182300_water,large_set_Oct22,0.2000000000009494,25.85249280929565,16,18,2.8619442401417023,2.572608829080753,12.12370974367607,0.1219342387114005,0.0863810477365329,0.0048640231912569,0.05,0.0501000000000004,0.0,7,Bayesian,water,2025-10-21T18:29:29.856279,,
20251021_182300_water,large_set_Oct22,5.599999999999023,29.163249254226685,13,22,3.705993468951839,2.803589212131779,5.544414498634585,0.1770586201182631,0.1,0.0075,0.05,0.0527999999999995,0.0,8,Bayesian,water,2025-10-21T18:30:06.655646,,
20251021_182300_water,large_set_Oct22,10.000000000000147,30.13933253288269,18,19,1.1718145633974022,8.105516427995317,15.0,0.0447589658317402,0.0604345448034637,0.0037498284700348,0.05,0.0449999999999999,0.0,9,Bayesian,water,2025-10-21T18:30:44.844580,,
