,well_position,turbidity_600
0,F8,0.0383
1,F9,0.0392
2,F10,0.0382
3,F11,2.0561
4,F12,0.0384
5,G1,0.0386
6,G2,0.0381
7,G3,1.069
8,G4,0.0396
9,G5,0.0378
10,G6,0.0577
11,G7,0.4821
