wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
29,experiment,experiment,SDS,TTAB,0.474341649025257,0.01,SDS_dilution_1,4.0,23.71708245126285,TTAB_dilution_5,0.1,20.0,156.28291754873715,0.0,,5,1,0.0393,160075.0,182145.0,0.8788327980455132
30,experiment,experiment,SDS,TTAB,0.474341649025257,0.06887246539984299,SDS_dilution_1,4.0,23.71708245126285,TTAB_dilution_3,0.7000000000000001,19.677847257097994,156.60507029163915,0.0,,5,1,0.0421,126387.0,141315.0,0.8943636556628808
31,experiment,experiment,SDS,TTAB,0.474341649025257,0.474341649025257,SDS_dilution_1,4.0,23.71708245126285,TTAB_dilution_1,4.0,23.71708245126285,152.5658350974743,0.0,,5,1,0.3303,50910.0,62593.0,0.8133497355934369
32,experiment,experiment,SDS,TTAB,0.474341649025257,3.266907881019648,SDS_dilution_1,4.0,23.71708245126285,TTAB_stock,50.0,13.067631524078593,163.21528602465855,0.0,,5,1,0.0655,88290.0,104583.0,0.8442098620234646
33,experiment,experiment,SDS,TTAB,0.474341649025257,22.5,SDS_dilution_1,4.0,23.71708245126285,TTAB_stock,50.0,90.0,86.28291754873715,0.0,,5,1,0.0386,121570.0,148416.0,0.8191165373005606
34,experiment,experiment,SDS,TTAB,3.266907881019648,0.01,SDS_stock,50.0,13.067631524078593,TTAB_dilution_5,0.1,20.0,166.9323684759214,0.0,,5,1,0.0382,78044.0,80648.0,0.9677115365539133
35,experiment,experiment,SDS,TTAB,3.266907881019648,0.06887246539984299,SDS_stock,50.0,13.067631524078593,TTAB_dilution_3,0.7000000000000001,19.677847257097994,167.2545212188234,0.0,,5,1,0.0398,66903.0,66146.0,1.0114443806125843
36,experiment,experiment,SDS,TTAB,3.266907881019648,0.474341649025257,SDS_stock,50.0,13.067631524078593,TTAB_dilution_1,4.0,23.71708245126285,163.21528602465855,0.0,,5,1,0.0906,111868.0,135541.0,0.8253443607469326
37,experiment,experiment,SDS,TTAB,3.266907881019648,3.266907881019648,SDS_stock,50.0,13.067631524078593,TTAB_stock,50.0,13.067631524078593,173.86473695184281,0.0,,5,1,1.1824,39800.0,54809.0,0.7261581127187141
38,experiment,experiment,SDS,TTAB,3.266907881019648,22.5,SDS_stock,50.0,13.067631524078593,TTAB_stock,50.0,90.0,96.93236847592141,0.0,,5,1,0.8036,25281.0,32207.0,0.7849535815195454
39,experiment,experiment,SDS,TTAB,22.5,0.01,SDS_stock,50.0,90.0,TTAB_dilution_5,0.1,20.0,90.0,0.0,,5,1,0.0382,100941.0,118346.0,0.852931235529718
40,experiment,experiment,SDS,TTAB,22.5,0.06887246539984299,SDS_stock,50.0,90.0,TTAB_dilution_3,0.7000000000000001,19.677847257097994,90.322152742902,0.0,,5,1,0.038,184506.0,240246.0,0.7679878124921955
41,experiment,experiment,SDS,TTAB,22.5,0.474341649025257,SDS_stock,50.0,90.0,TTAB_dilution_1,4.0,23.71708245126285,86.28291754873715,0.0,,5,1,0.0384,134279.0,167101.0,0.8035798708565478
42,experiment,experiment,SDS,TTAB,22.5,3.266907881019648,SDS_stock,50.0,90.0,TTAB_stock,50.0,13.067631524078593,96.93236847592141,0.0,,5,1,1.3734,41796.0,56542.0,0.7392027165646776
43,experiment,experiment,SDS,TTAB,22.5,22.5,SDS_stock,50.0,90.0,TTAB_stock,50.0,90.0,20.0,0.0,,5,1,2.9289,57629.0,84132.0,0.6849831217610421
44,experiment,experiment,SDS,TTAB,1.2455071800837398,0.1808987328433087,SDS_dilution_1,4.0,62.275359004186996,TTAB_dilution_3,0.7000000000000001,51.68535224094534,86.03928875486767,0.0,,5,1,0.0459,92793.0,100579.0,0.922588214239553
45,experiment,experiment,SDS,TTAB,8.53139469627289,1.230722452901479,SDS_stock,50.0,34.12557878509156,TTAB_dilution_1,4.0,61.53612264507395,104.33829856983448,0.0,,5,1,2.2389,16426.0,20464.0,0.8026778733385458
46,experiment,experiment,SDS,TTAB,1.452764453707427,8.559181379690916,SDS_dilution_1,4.0,72.63822268537135,TTAB_stock,50.0,34.23672551876366,93.12505179586499,0.0,,5,1,0.0378,181997.0,211037.0,0.8623937982439098
47,experiment,experiment,SDS,TTAB,19.30265413870648,1.4407463662971265,SDS_stock,50.0,77.21061655482592,TTAB_dilution_1,4.0,72.03731831485632,50.75206513031776,0.0,,5,1,2.4153,61836.0,90014.0,0.6869598062523607
48,experiment,experiment,SDS,TTAB,1.2234782907027584,3.314189120132398,SDS_dilution_1,4.0,61.17391453513792,TTAB_dilution_0,10.0,66.28378240264797,72.5423030622141,0.0,,5,1,0.1256,47974.0,56938.0,0.8425655976676385
49,experiment,experiment,SDS,TTAB,3.769018075176743,8.807452380080802,SDS_dilution_0,10.0,75.38036150353486,TTAB_stock,50.0,35.22980952032321,89.38982897614193,0.0,,5,1,0.0382,83282.0,88699.0,0.9389282855500062
50,experiment,experiment,SDS,TTAB,8.600496379864646,0.029245235471850674,SDS_stock,50.0,34.401985519458584,TTAB_dilution_5,0.1,58.49047094370134,107.10754353684007,0.0,,5,1,1.5994,11100.0,11987.0,0.9260031701009427
51,experiment,experiment,SDS,TTAB,1.5635800488200327,0.37907734522860775,SDS_dilution_1,4.0,78.17900244100163,TTAB_dilution_2,1.5,50.543646030481035,71.27735152851733,0.0,,5,1,0.0566,82211.0,89359.0,0.9200080573864972
52,experiment,experiment,SDS,TTAB,8.57971949235445,0.0799626238065793,SDS_stock,50.0,34.3188779694178,TTAB_dilution_4,0.30000000000000004,53.30841587105286,112.37270615952934,0.0,,5,1,1.6942,16673.0,20468.0,0.8145886261481337
53,experiment,experiment,SDS,TTAB,2.9346717332314216,0.20168157337536705,SDS_dilution_0,10.0,58.693434664628434,TTAB_dilution_3,0.7000000000000001,57.62330667867629,83.68325865669527,0.0,,5,1,0.0421,89100.0,99173.0,0.8984300162342573
54,experiment,experiment,SDS,TTAB,11.28441226114452,2.4552081836888946,SDS_stock,50.0,45.13764904457808,TTAB_dilution_0,10.0,49.10416367377789,105.75818728164403,0.0,,5,1,2.1182,30588.0,41483.0,0.7373622929874889
55,experiment,experiment,SDS,TTAB,3.784672682495725,1.0673628287258206,SDS_dilution_0,10.0,75.6934536499145,TTAB_dilution_1,4.0,53.368141436291026,70.93840491379447,0.0,,5,1,0.1414,39539.0,44469.0,0.8891362522206481
56,experiment,experiment,SDS,TTAB,1.154076604390713,0.07447604534641891,SDS_dilution_1,4.0,57.70383021953565,TTAB_dilution_4,0.30000000000000004,49.6506968976126,92.64547288285175,0.0,,5,1,0.0397,139337.0,158740.0,0.8777686783419428
57,experiment,experiment,SDS,TTAB,0.5111665032463721,0.16818372675279736,SDS_dilution_2,1.5,68.15553376618296,TTAB_dilution_3,0.7000000000000001,48.0524933579421,83.79197287587495,0.0,,5,1,0.0455,95396.0,101925.0,0.9359430954132941
58,experiment,experiment,SDS,TTAB,3.508982439204886,13.958823649874256,SDS_dilution_0,10.0,70.17964878409772,TTAB_stock,50.0,55.835294599497026,73.98505661640525,0.0,,5,1,0.0386,112264.0,123764.0,0.9070812190944055
59,experiment,experiment,SDS,TTAB,3.470112590083287,5.360722112914683,SDS_dilution_0,10.0,69.40225180166574,TTAB_stock,50.0,21.44288845165873,109.15485974667553,0.0,,5,1,0.0385,119886.0,132289.0,0.9062431494682097
60,experiment,experiment,SDS,TTAB,19.670398993559576,0.185573525530677,SDS_stock,50.0,78.6815959742383,TTAB_dilution_3,0.7000000000000001,53.02100729447913,68.29739673128256,0.0,,5,1,2.4893,9714.0,10464.0,0.9283256880733946
61,experiment,experiment,SDS,TTAB,16.367128418504617,8.660843389077728,SDS_stock,50.0,65.46851367401847,TTAB_stock,50.0,34.64337355631091,99.88811276967061,0.0,,5,1,2.1722,15269.0,18284.0,0.8351017282870269
62,experiment,experiment,SDS,TTAB,7.320818665730041,0.2804726482975116,SDS_stock,50.0,29.283274662920164,TTAB_dilution_3,0.7000000000000001,80.1350423707176,90.58168296636224,0.0,,5,1,1.5841,13922.0,15914.0,0.8748271961794646
63,experiment,experiment,SDS,TTAB,7.07210501329526,0.5966664215647376,SDS_stock,50.0,28.28842005318104,TTAB_dilution_2,1.5,79.55552287529834,92.15605707152062,0.0,,5,1,1.6613,22475.0,28641.0,0.7847142208721762
64,experiment,experiment,SDS,TTAB,7.540761541790319,4.974090180413351,SDS_stock,50.0,30.16304616716128,TTAB_stock,50.0,19.896360721653405,149.9405931111853,0.0,,5,1,1.5031,15992.0,18533.0,0.8628932175039119
65,experiment,experiment,SDS,TTAB,20.269204058636124,0.8060245588977211,SDS_stock,50.0,81.0768162345445,TTAB_dilution_1,4.0,40.30122794488605,78.62195582056945,0.0,,5,1,2.4862,28105.0,38214.0,0.7354634427173288
66,experiment,experiment,SDS,TTAB,0.4442457814515982,0.026246587216793738,SDS_dilution_2,1.5,59.232770860213094,TTAB_dilution_5,0.1,52.49317443358747,88.27405470619944,0.0,,5,1,0.0387,77182.0,77361.0,0.9976861726192785
67,experiment,experiment,SDS,TTAB,2.310081368489149,10.36334964936475,SDS_dilution_0,10.0,46.201627369782976,TTAB_stock,50.0,41.453398597459,112.34497403275802,0.0,,5,1,0.0381,65708.0,62932.0,1.0441111040488147
68,experiment,experiment,SDS,TTAB,10.62334869248375,0.013614897658600973,SDS_stock,50.0,42.493394769935,TTAB_dilution_5,0.1,27.229795317201944,130.27680991286306,0.0,,5,1,1.9243,12221.0,13883.0,0.8802852409421594
69,experiment,experiment,SDS,TTAB,0.5000048528584454,1.1775201509610358,SDS_dilution_2,1.5,66.66731371445938,TTAB_dilution_1,4.0,58.87600754805179,74.45667873748883,0.0,,5,1,0.0698,64482.0,67986.0,0.9484599770540993
70,experiment,experiment,SDS,TTAB,3.647625584646057,1.9082849057352786,SDS_dilution_0,10.0,72.95251169292115,TTAB_dilution_0,10.0,38.16569811470557,88.88179019237327,0.0,,5,1,0.3268,20936.0,24525.0,0.8536595310907238
