,Velocity,50000,100000,150000,200000,250000,300000
0,55,1.006049394607544,1.9213783740997314,2.840733289718628,3.7397756576538086,4.657100200653076,5.569156885147095
1,60,0.9524211883544922,1.789228916168213,2.6099188327789307,3.4414262771606445,4.2808003425598145,5.1109113693237305
2,65,0.9000809192657471,1.6632497310638428,2.4340052604675293,3.219355583190918,3.9673900604248047,4.742246866226196
3,70,0.8629319667816162,1.5685505867004395,2.27287220954895,3.0050110816955566,3.703058958053589,4.426330804824829
4,75,0.8096435070037842,1.4880039691925049,2.1603808403015137,2.823148488998413,3.4908053874969482,4.1564576625823975
5,80,0.7839410305023193,1.3981895446777344,2.0159554481506348,2.6569998264312744,3.278918743133545,3.9183273315429688
6,85,0.7652053833007812,1.3314287662506104,1.9285423755645752,2.5370285511016846,3.1217947006225586,3.7027361392974854
7,90,0.7325687408447266,1.3006088733673096,1.8657050132751465,2.425842046737671,2.9456088542938232,3.5184686183929443
