timestamp,target_volume_ml,measured_volume_ml,measured_volume_ul,deviation_pct,duration_s,strategy,total_measurement_count,aspirate_speed,aspirate_wait_time,dispense_speed,overaspirate_vol,post_asp_air_vol,post_retract_wait_time,pre_asp_air_vol
1769118173.385461,0.05,0.05338613861385937,53.38613861385937,6.77227722771874,83.375722900033,screening,1,15,2.8000000000000003,30,0.0063,0.059000000000000004,5.4,0.024
1769118214.59047,0.05,0.05350495049505003,53.50495049505003,7.009900990100057,41.191923699807376,screening,2,15,2.8000000000000003,30,0.0063,0.059000000000000004,5.4,0.024
1769118255.3684795,0.05,0.052930693069308095,52.93069306930809,5.861386138616184,40.77464900026098,screening,3,15,2.8000000000000003,30,0.0063,0.059000000000000004,5.4,0.024
1769118312.9662774,0.05,0.03900990099009955,39.00990099009955,21.980198019800902,57.584100199863315,screening,4,33,17.400000000000002,12,0.003,0.029,5.0,0.183
1769118349.377571,0.05,0.05683168316831805,56.83168316831805,13.66336633663609,36.39679729985073,screening,5,11,9.600000000000001,20,0.0007,0.018000000000000002,0.7000000000000001,0.112
1769118423.71623,0.05,0.05291089108910906,52.910891089109064,5.821782178218118,74.32268620003015,screening,6,22,26.0,19,0.005,0.099,9.1,0.253
1769118501.375223,0.05,0.04950495049505021,49.50495049505021,0.9900990098995893,77.66454739961773,screening,7,22,26.0,19,0.005,0.099,9.1,0.253
1769118575.3257852,0.05,0.05574257425742422,55.74257425742422,11.485148514848428,73.9529448999092,screening,8,22,26.0,19,0.005,0.099,9.1,0.253
1769118633.3596535,0.05,0.02465346534653348,24.65346534653348,50.69306930693305,58.01197619969025,screening,9,8,26.700000000000003,7,0.004200000000000001,0.07100000000000001,7.800000000000001,0.145
1769118805.1994274,0.05,0.04960396039604008,49.60396039604008,0.7920792079198491,171.80969709996134,screening,10,24,12.200000000000001,32,0.0018000000000000002,0.041,2.5,0.28600000000000003
1769118890.7879071,0.05,0.047524752475245804,47.524752475245805,4.950495049508397,85.5877813003026,screening,11,24,12.200000000000001,32,0.0018000000000000002,0.041,2.5,0.28600000000000003
1769118975.395825,0.05,0.04712871287128809,47.128712871288094,5.7425742574238186,84.60537749994546,screening,12,24,12.200000000000001,32,0.0018000000000000002,0.041,2.5,0.28600000000000003
1769119023.7752147,0.05,0.041980198019802635,41.980198019802636,16.039603960394736,48.35771650029346,screening,13,19,20.400000000000002,15,0.0019,0.001,3.1,0.066
1769119080.5862942,0.05,0.0575049504950481,57.5049504950481,15.009900990096192,56.80177449993789,screening,14,28,4.0,25,0.0071,0.082,6.5,0.225
1769119120.4071324,0.05,0.039405940594059025,39.405940594059025,21.188118811881957,39.79544010013342,screening,15,10,13.5,13,0.0066,0.088,4.1000000000000005,0.121
