,well_position,turbidity_600
0,A1,0.0393
1,A2,0.0393
2,A3,0.0387
3,A4,0.043
4,A5,0.0433
5,A6,0.0385
6,A7,0.0385
7,A8,0.0385
8,A9,0.0385
9,A10,0.0385
10,A11,0.039
11,A12,0.0424
12,B1,0.0386
13,B2,0.0395
14,B3,0.0386
15,B4,0.0385
16,B5,0.0381
17,B6,0.0388
18,B7,0.0387
19,B8,0.0996
20,B9,0.0604
21,B10,0.0392
22,B11,0.0384
23,B12,0.053
24,C1,0.4009
25,C2,0.1258
26,C3,0.0391
27,C4,0.0447
28,C5,0.2096
29,C6,1.4136
30,C7,1.4199
31,C8,0.0382
32,C9,0.0388
33,C10,1.6942
34,C11,2.8837
