deviation,variability,time,aspirate_speed,wait_time,retract_speed,pre_asp_air_vol,post_asp_air_vol,blowout_vol,volume,trial_index
11.066532932129126,0.00028674417556817644,215.77065932932587,17,3.9591368585824966,2.7358557134866714,0.03462322652339935,0.02134751379489899,0.05481463670730591,0.02,0
25.944500167171498,0.0021514852750808716,659.6192883273494,28,18.609520692378283,10.75402433052659,0.06596395066007972,0.08671318618580699,0.0430792398750782,0.02,1
4.246071547975419,0.003872409528388518,330.78651488343667,22,8.125455986708403,5.638304226100445,0.010094708111137152,0.07079338999465108,0.012273490335792303,0.05,2
5.048478769641439,0.000771722460186416,503.29061168665123,10,22.747248930856586,14.628858705982566,0.09127677585929633,0.03686707001179457,0.09900011243298651,0.05,3
2.2066198595786046,0.0012192894105444271,273.0055688658529,6,11.976870746351779,9.412869492545724,0.08289078483358026,0.04044066481292248,0.0672242102213204,0.1,4
3.9117352056180894,0.0030474032661700484,647.3535734558667,20,26.396898253820837,3.8548407964408398,0.014184195548295975,0.055024944152683025,0.03047364791855216,0.1,5
29.789368104313247,0.0019304576314099603,303.216127875652,19,9.72098020104537,2.3043452192543135,0.010987167056061436,0.03807011755412869,0.03232426525636262,0.02,6
6.051487796725687,0.002169997439834157,73.76085177781556,16,0.5000000003700278,9.433916905214257,0.024960849141676178,0.033381708236466086,0.07475436991619609,0.02,7
12.604480106988202,0.002067741655903169,907.383403294461,29,30.0,1.0,0.036503351456106496,0.08338685411873153,0.011094389140780134,0.05,8
15.14543630892738,0.0008164965809265483,15.546385242369448,5,0.5,15.0,0.0,0.1,0.0,0.05,9
3.477097960548193,0.0009977753031394495,67.4636192886883,5,1.689920521325991,15.0,0.0,0.1,0.1,0.1,10
8.157806753593773,0.0008956685895025475,31.24310988344715,5,0.5,15.0,0.0,0.07036821823978784,0.0,0.1,11
