,well_position,turbidity_600,wellplate_index
0,A1,0.3278,0
1,A2,2.1119,1
2,A3,0.0508,2
3,A4,0.1122,3
4,A5,0.0387,4
5,A6,0.0598,5
6,A7,0.6537,6
7,A8,0.1133,7
8,A9,0.2453,8
9,A10,2.1047,9
10,A11,0.0433,10
11,A12,0.039,11
12,B1,0.9498,12
13,B2,0.0382,13
