,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,H1,144170.0,163946.0,84,0.8793749161309211
1,H2,233592.0,269484.0,85,0.8668121298481543
2,H3,157200.0,180460.0,86,0.8711071705641139
3,H4,22773.0,28194.0,87,0.8077250478825282
4,H5,190316.0,214999.0,88,0.885194814859604
5,H6,37676.0,51364.0,89,0.7335098512576902
6,H7,178754.0,198287.0,90,0.9014912727511133
7,H8,77735.0,95969.0,91,0.8100011462034615
8,H9,84586.0,117060.0,92,0.7225867076712796
9,H10,154075.0,169080.0,93,0.9112550272060563
10,H11,114445.0,142291.0,94,0.8043024506117744
11,H12,109071.0,119816.0,95,0.9103208252654069
