,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,E9,60245.0,85867.0,56,0.7016083012100108
1,E10,33428.0,45859.0,57,0.7289299810288057
2,E11,55651.0,79793.0,58,0.6974421315152959
3,E12,39736.0,55424.0,59,0.7169457274826789
4,F1,24679.0,32147.0,60,0.7676921641210689
5,F2,30717.0,41501.0,61,0.7401508397388015
6,F3,182620.0,210497.0,62,0.867565808538839
7,F4,22632.0,29163.0,63,0.776051846517848
8,F5,58329.0,75478.0,64,0.772794721640743
9,F6,144170.0,167070.0,65,0.8629317052732388
10,F7,35321.0,42857.0,66,0.8241594138647129
11,F8,32391.0,45222.0,67,0.716266418999602
12,F9,165932.0,186416.0,68,0.8901167281778388
13,F10,151718.0,191408.0,69,0.7926418958455237
