,well_position,turbidity_600
0,B1,0.0859
1,B2,0.0944
2,B3,0.0394
3,B4,0.0386
4,B5,0.0386
5,B6,0.0388
6,B7,0.0591
7,B8,0.0502
8,B9,0.0385
9,B10,0.0371
10,B11,0.0381
11,B12,1.968
