,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,G1,161963.0,178629.0,72,0.9067004797653236
1,G2,152776.0,165755.0,73,0.9216976863443034
2,G3,196930.0,244038.0,74,0.8069644891369376
3,G4,195130.0,240816.0,75,0.8102866919141585
4,G5,170087.0,197429.0,76,0.8615097072871767
5,G6,269032.0,311253.0,77,0.8643515082585549
6,G7,235224.0,270078.0,78,0.8709483926865572
7,G8,28903.0,37058.0,79,0.7799395542123159
8,G9,257175.0,293900.0,80,0.8750425314732903
9,G10,49137.0,66188.0,81,0.7423853266453133
10,G11,213250.0,272468.0,82,0.7826607161207921
11,G12,199747.0,248433.0,83,0.8040276452806189
12,H1,228250.0,284179.0,84,0.8031909465512934
13,H2,217185.0,276497.0,85,0.7854877268107792
