,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,A1,79480.0,75710.0,0,1.0497952714304584
1,A2,202308.0,255887.0,1,0.7906146072289721
2,A3,314708.0,367783.0,2,0.8556893603021347
3,A4,286357.0,332265.0,3,0.8618331753269228
4,A5,253213.0,290569.0,4,0.8714384535170648
5,A6,236588.0,272849.0,5,0.8671023166659948
6,A7,229265.0,271922.0,6,0.8431278087098506
7,A8,227010.0,279400.0,7,0.8124910522548318
8,A9,254596.0,324785.0,8,0.7838908816601752
9,A10,241749.0,306542.0,9,0.7886325527986378
10,A11,236586.0,303357.0,10,0.7798929973595466
11,A12,225308.0,254815.0,11,0.8842022643878893
12,B1,186650.0,206709.0,12,0.9029602000880464
13,B2,162930.0,179213.0,13,0.9091416359304292
14,B3,147002.0,161875.0,14,0.9081204633204634
15,B4,142583.0,158146.0,15,0.9015909349588355
16,B5,167754.0,199936.0,16,0.8390384923175416
17,B6,186073.0,227422.0,17,0.8181838168690804
18,B7,192450.0,235637.0,18,0.8167223313825928
19,B8,247533.0,282462.0,19,0.8763408883318818
20,B9,224085.0,253625.0,20,0.8835288319369148
21,B10,223125.0,250597.0,21,0.8903737873956991
22,B11,152012.0,166474.0,22,0.9131275754772517
23,B12,195244.0,240903.0,23,0.8104672835124511
24,C1,237861.0,267203.0,24,0.8901883586636378
25,C2,206512.0,236697.0,25,0.8724740913488553
26,C3,203259.0,228129.0,26,0.8909827334534408
27,C4,124154.0,138702.0,27,0.8951132644085882
28,C5,195492.0,243469.0,28,0.8029441119814021
29,C6,238778.0,268842.0,29,0.8881722349930442
30,C7,230527.0,261712.0,30,0.8808422999327505
31,C8,116962.0,141047.0,31,0.8292413167242125
32,C9,122329.0,139617.0,32,0.8761755373629286
33,C10,199331.0,246909.0,33,0.8073055255174983
34,C11,184673.0,204969.0,34,0.9009801482175354
35,C12,155069.0,169946.0,35,0.9124604286067339
36,D1,114786.0,130048.0,36,0.8826433316929134
37,D2,43981.0,59703.0,37,0.7366631492554813
38,D3,35217.0,45103.0,38,0.7808128062434871
39,D4,243064.0,307523.0,39,0.7903929137007638
40,D5,238410.0,303793.0,40,0.7847777927733687
41,D6,238177.0,302993.0,41,0.7860808665546729
42,D7,50053.0,66870.0,42,0.7485120382832361
43,D8,56028.0,80021.0,43,0.7001662063708276
