,well_position,turbidity_600,wellplate_index
0,A1,0.0389,0
1,A2,0.5272,1
2,A3,0.0385,2
3,A4,0.9394,3
4,A5,0.2036,4
5,A6,0.0381,5
6,A7,0.0386,6
7,A8,0.0376,7
8,A9,0.084,8
9,A10,0.7166,9
10,A11,1.1102,10
11,A12,0.0379,11
12,B1,0.0686,12
13,B2,0.0388,13
