,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,A1,35892.0,45912.0,0,0.7817564035546263
1,A2,40462.0,52460.0,1,0.7712924132672513
2,A3,20022.0,22699.0,2,0.8820652892197894
3,A4,19718.0,22346.0,3,0.8823950595184821
4,A5,11399.0,11967.0,4,0.9525361410545667
5,A6,106240.0,117659.0,5,0.9029483507423997
6,A7,14259.0,16261.0,6,0.8768833405079638
7,A8,13706.0,15564.0,7,0.8806219480853251
8,A9,29121.0,36359.0,8,0.8009296185263621
9,A10,11959.0,12779.0,9,0.9358322247437202
10,A11,14541.0,15378.0,10,0.9455715957861881
11,A12,12238.0,13237.0,11,0.924529727279595
12,B1,43119.0,55190.0,12,0.7812828410944012
13,B2,11384.0,11787.0,13,0.9658097904471027
