,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,H1,21390.0,25983.0,84,0.8232305738367394
1,H2,17320.0,19048.0,85,0.9092818143637127
2,H3,25459.0,29505.0,86,0.862870699881376
3,H4,24161.0,29086.0,87,0.830674551330537
4,H5,33065.0,40995.0,88,0.8065617758263203
5,H6,24206.0,30161.0,89,0.8025595968303438
6,H7,17360.0,19038.0,90,0.9118604895472213
7,H8,15914.0,17526.0,91,0.9080223667693712
8,H9,18754.0,21676.0,92,0.8651965307252261
9,H10,29292.0,37172.0,93,0.78801248251372
10,H11,24416.0,29389.0,94,0.8307870291605702
11,H12,16420.0,17976.0,95,0.913440142412105
