,well_position,turbidity_600,wellplate_index
0,G1,2.3656,72
1,G2,1.3076,73
2,G3,1.4882,74
3,G4,0.0381,75
4,G5,1.1524,76
5,G6,2.3239,77
6,G7,1.5751,78
7,G8,1.5231,79
8,G9,2.3465,80
9,G10,2.426,81
10,G11,1.386,82
11,G12,2.4678,83
12,H1,1.2204,84
13,H2,0.0408,85
