,water,red,blue,yellow
0,60.0,60.0,30.0,90.0
1,140.0,50.0,10.0,40.0
2,40.0,110.0,60.0,30.0
3,20.0,130.0,20.0,70.0
4,180.0,10.0,50.0,0.0
5,30.0,110.0,10.0,90.0
6,80.0,10.0,40.0,110.0
7,20.0,10.0,80.0,130.0
8,200.0,10.0,0.0,30.0
9,10.0,10.0,20.0,200.0
10,90.0,60.0,30.0,60.0
11,50.0,20.0,60.0,110.0
12,70.0,10.0,130.0,30.0
13,0.0,20.0,190.0,30.0
14,20.0,30.0,130.0,60.0
15,30.0,30.0,90.0,90.0
