volume_mL,mean_mass_a,std_mass_a,deviation_a,mean_mass_b,std_mass_b,deviation_b,time_per_replicate,time_score
0.02,,,,0.0,0.0,0.0,0.013092422485351562,0.9817810771623567
0.05,,,,0.0,0.0,0.0,0.009983158111572266,0.9818366093235176
0.1,,,,0.0,0.0,0.0,0.009780406951904297,0.981840224729445
0.15,,,,0.0,0.0,0.0,0.009852123260498048,0.9818389459836304
0.2,,,,0.0,0.0,0.0,0.00991063117980957,0.9818379026860449
0.02,,,,0.0,0.0,0.0,0.008704042434692383,0.9818594063563251
0.05,,,,0.0,0.0,0.0,0.008331775665283203,0.981866035801276
0.1,,,,0.0,0.0,0.0,0.007238960266113282,0.9818854832716748
0.15,,,,0.0,0.0,0.0,0.006586742401123047,0.9818970802218577
0.2,,,,0.0,0.0,0.0,0.008109331130981445,0.9818699960291831
