vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index,notes
0,diva_stock,large_vial_rack,0,12.0,False,open,20_mL,large_vial_rack,0,
1,copper_nitrate_stock,large_vial_rack,1,12.0,False,open,20_mL,large_vial_rack,1,
2,reaction_vial_1,main_8mL_rack,36,0.0,True,open,8_mL,main_8mL_rack,36,
3,reaction_vial_2,main_8mL_rack,37,0.0,True,open,8_mL,main_8mL_rack,37,
4,reaction_vial_3,main_8mL_rack,38,0.0,True,open,8_mL,main_8mL_rack,38,
