vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index,notes
0,polymer_A_stock,main_8mL_rack,0,7.0,True,open,8_mL,main_8mL_rack,0,Polymer stock A
1,polymer_B_stock,main_8mL_rack,1,7.0,True,open,8_mL,main_8mL_rack,1,Polymer stock B
2,dye_1,main_8mL_rack,2,7.0,True,open,8_mL,main_8mL_rack,2,Dye stock 1
3,dye_2,main_8mL_rack,3,7.0,True,open,8_mL,main_8mL_rack,3,Dye stock 2
4,salt_1,main_8mL_rack,4,7.0,True,open,8_mL,main_8mL_rack,4,Salt stock (e.g. NaCl)
5,buffer_1,main_8mL_rack,5,7.0,True,open,8_mL,main_8mL_rack,5,Buffer stock (e.g. HEPES)
6,water,main_8mL_rack,6,7.5,True,open,8_mL,main_8mL_rack,6,Water working vial (refilled from reservoir)
7,polymer_A_sub_1,main_8mL_rack,7,0.0,True,open,8_mL,main_8mL_rack,7,Polymer A substock slot 1
8,polymer_A_sub_2,main_8mL_rack,8,0.0,True,open,8_mL,main_8mL_rack,8,Polymer A substock slot 2
9,polymer_A_sub_3,main_8mL_rack,9,0.0,True,open,8_mL,main_8mL_rack,9,Polymer A substock slot 3
10,polymer_A_sub_4,main_8mL_rack,10,0.0,True,open,8_mL,main_8mL_rack,10,Polymer A substock slot 4
11,polymer_A_sub_5,main_8mL_rack,11,0.0,True,open,8_mL,main_8mL_rack,11,Polymer A substock slot 5
12,polymer_A_sub_6,main_8mL_rack,12,0.0,True,open,8_mL,main_8mL_rack,12,Polymer A substock slot 6
13,polymer_B_sub_1,main_8mL_rack,13,0.0,True,open,8_mL,main_8mL_rack,13,Polymer B substock slot 1
14,polymer_B_sub_2,main_8mL_rack,14,0.0,True,open,8_mL,main_8mL_rack,14,Polymer B substock slot 2
15,polymer_B_sub_3,main_8mL_rack,15,0.0,True,open,8_mL,main_8mL_rack,15,Polymer B substock slot 3
16,polymer_B_sub_4,main_8mL_rack,16,0.0,True,open,8_mL,main_8mL_rack,16,Polymer B substock slot 4
17,polymer_B_sub_5,main_8mL_rack,17,0.0,True,open,8_mL,main_8mL_rack,17,Polymer B substock slot 5
18,polymer_B_sub_6,main_8mL_rack,18,0.0,True,open,8_mL,main_8mL_rack,18,Polymer B substock slot 6
