vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
0,measurement_vial_0,main_8mL_rack,0,6.5,True,open,8_mL,main_8mL_rack,0
1,measurement_vial_1,main_8mL_rack,1,7.0,True,open,8_mL,main_8mL_rack,1
2,measurement_vial_2,main_8mL_rack,2,7.0,True,open,8_mL,main_8mL_rack,2
3,measurement_vial_3,main_8mL_rack,3,7.0,True,open,8_mL,main_8mL_rack,3
4,measurement_vial_4,main_8mL_rack,4,7.0,True,open,8_mL,main_8mL_rack,4
5,measurement_vial_5,main_8mL_rack,5,7.0,True,open,8_mL,main_8mL_rack,5
6,measurement_vial_6,main_8mL_rack,6,7.0,True,open,8_mL,main_8mL_rack,6
7,measurement_vial_7,main_8mL_rack,7,5.4,True,open,8_mL,main_8mL_rack,7
8,measurement_vial_8,main_8mL_rack,8,6.8,True,open,8_mL,main_8mL_rack,8
9,measurement_vial_9,main_8mL_rack,9,6.8,True,open,8_mL,main_8mL_rack,9
10,measurement_vial_10,main_8mL_rack,10,6.8,True,open,8_mL,main_8mL_rack,10
11,measurement_vial_11,main_8mL_rack,11,4.8,True,open,8_mL,main_8mL_rack,11
12,measurement_vial_12,main_8mL_rack,12,4.8,True,open,8_mL,main_8mL_rack,12
13,measurement_vial_13,main_8mL_rack,13,2.4,True,open,8_mL,main_8mL_rack,13
14,measurement_vial_14,main_8mL_rack,14,0.0,True,open,8_mL,main_8mL_rack,14
15,measurement_vial_15,main_8mL_rack,15,0.0,True,open,8_mL,main_8mL_rack,15
