vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
0,CAPB,main_8mL_rack,12,2.43,True,open,8_mL,main_8mL_rack,12
1,CTAB,large_vial_rack,0,-0.0789999999999964,True,open,20_mL,large_vial_rack,0
2,TTAB,main_8mL_rack,43,2.3240000000000003,True,open,8_mL,main_8mL_rack,13
22,water_large,large_vial_rack,2,12.800999999999993,True,open,20_mL,large_vial_rack,2
10,substock_1,main_8mL_rack,0,0.4989599999999995,True,open,8_mL,main_8mL_rack,0
11,substock_2,main_8mL_rack,1,0.5018000000000006,True,open,8_mL,main_8mL_rack,1
12,substock_3,main_8mL_rack,2,0.49975000000000025,True,open,8_mL,main_8mL_rack,2
13,substock_4,main_8mL_rack,3,0.5028199999999993,True,open,8_mL,main_8mL_rack,3
14,substock_5,main_8mL_rack,4,0.4990800000000003,True,open,8_mL,main_8mL_rack,4
15,substock_6,main_8mL_rack,5,0.5018100000000002,True,open,8_mL,main_8mL_rack,5
16,substock_7,main_8mL_rack,6,0.5010100000000003,True,open,8_mL,main_8mL_rack,6
17,substock_8,main_8mL_rack,7,3.6535100000000003,True,open,8_mL,main_8mL_rack,7
20,water,main_8mL_rack,45,7.5,True,open,8_mL,main_8mL_rack,45
21,pyrene_DMSO,main_8mL_rack,47,2.89999999999999,False,none,8_mL,main_8mL_rack,47
