vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
1,CHAPS,large_vial_rack,1,11.232000000000001,True,open,20_mL,large_vial_rack,1
2,SDS,main_8mL_rack,25,4.954999999999999,True,open,8_mL,main_8mL_rack,25
22,water_large,large_vial_rack,2,18.602,True,open,20_mL,large_vial_rack,2
10,substock_1,main_8mL_rack,0,0.49941000000000024,True,open,8_mL,main_8mL_rack,0
11,substock_2,main_8mL_rack,1,0.5028099999999996,True,open,8_mL,main_8mL_rack,1
12,substock_3,main_8mL_rack,2,0.0,True,open,8_mL,main_8mL_rack,2
13,substock_4,main_8mL_rack,3,0.0,True,open,8_mL,main_8mL_rack,3
14,substock_5,main_8mL_rack,4,0.0,True,open,8_mL,main_8mL_rack,4
15,substock_6,main_8mL_rack,5,0.0,True,open,8_mL,main_8mL_rack,5
20,water,main_8mL_rack,45,7.5,True,open,8_mL,main_8mL_rack,45
21,pyrene_DMSO,main_8mL_rack,47,2.650000000000002,False,none,8_mL,main_8mL_rack,47
