vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index,notes
0,ethanol,main_8mL_rack,0,5.0,True,open,8_mL,main_8mL_rack,0,Ethanol solvent 
1,ethanol_dye,main_8mL_rack,1,5.0,True,open,8_mL,main_8mL_rack,1,Ethanol with dye
2,water,main_8mL_rack,2,7.0,True,open,8_mL,main_8mL_rack,2,Pure water
3,water_dye,main_8mL_rack,3,5.0,True,open,8_mL,main_8mL_rack,3,Water with dye
4,glycerol,main_8mL_rack,4,6.0,True,open,8_mL,main_8mL_rack,4,Glycerol solution
5,glycerol_dye,main_8mL_rack,5,5.0,True,open,8_mL,main_8mL_rack,5,Glycerol with dye
