vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index,notes
0,red,main_8mL_rack,44,7.8,True,open,8_mL,main_8mL_rack,44,
1,water,main_8mL_rack,45,7.8,True,open,8_mL,main_8mL_rack,45,
2,blue,main_8mL_rack,46,7.8,True,open,8_mL,main_8mL_rack,46,
4,wash,large_vial_rack,0,15.0,False,none,20_mL,large_vial_rack,0,
5,yellow,main_8mL_rack,47,7.8,True,open,8_mL,main_8mL_rack,47,
