vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index,notes
0,reactor_vial_1,main_8mL_rack,24,0.777,True,open,8_mL,main_8mL_rack,24,
1,reactor_vial_2,main_8mL_rack,25,2.0,True,open,8_mL,main_8mL_rack,25,
2,reactor_vial_3,main_8mL_rack,26,1.9989999999999999,True,open,8_mL,main_8mL_rack,26,
3,reactor_vial_4,main_8mL_rack,27,1.908,True,open,8_mL,main_8mL_rack,27,
5,ethanol_stock,large_vial_rack,0,13.927,False,open,20_mL,large_vial_rack,0,
7,reactor_vial_5,main_8mL_rack,30,1.838,True,open,8_mL,main_8mL_rack,30,
8,reactor_vial_6,main_8mL_rack,31,1.762,True,open,8_mL,main_8mL_rack,31,
9,reactor_vial_7,main_8mL_rack,32,1.7090000000000003,True,open,8_mL,main_8mL_rack,32,
10,reactor_vial_8,main_8mL_rack,33,1.667,True,open,8_mL,main_8mL_rack,33,
12,metal_salt_1,main_8mL_rack,0,5.151999999999999,True,open,8_mL,main_8mL_rack,0,
13,amine_1,main_8mL_rack,1,3.538,True,open,8_mL,main_8mL_rack,1,
14,hcl_stock,main_8mL_rack,2,2.824,True,open,8_mL,main_8mL_rack,2,
