,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,D9,102218.0,119503.0,44,0.8553592796833552
1,D10,90622.0,111120.0,45,0.8155327573794097
2,D11,155843.0,181703.0,46,0.8576798401787532
3,D12,176319.0,212118.0,47,0.831230730065341
4,E1,45921.0,59997.0,48,0.7653882694134707
5,E2,20677.0,24751.0,49,0.8354005898751565
6,E3,47799.0,49573.0,50,0.9642143908982712
7,E4,70217.0,85669.0,51,0.8196313719081582
8,E5,110800.0,112715.0,52,0.9830102470833518
9,E6,91724.0,88085.0,53,1.0413123687347448
10,E7,92245.0,121242.0,54,0.7608337044918427
11,E8,131089.0,146436.0,55,0.8951965363708377
12,E9,64315.0,77178.0,56,0.8333333333333334
13,E10,103775.0,112451.0,57,0.92284639531885
