,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,E9,134818.0,153589.0,56,0.8777842163175749
1,E10,24171.0,30495.0,57,0.7926217412690605
2,E11,61478.0,74510.0,58,0.82509730237552
3,E12,81134.0,77754.0,59,1.0434704323893305
4,F1,36505.0,38798.0,60,0.9408990154131657
5,F2,24458.0,29244.0,61,0.8363424976063466
6,F3,32870.0,32810.0,62,1.001828710758915
7,F4,12191.0,12924.0,63,0.9432838130609719
8,F5,39479.0,44403.0,64,0.8891065918969439
9,F6,76889.0,74621.0,65,1.0303935889360905
10,F7,36189.0,44446.0,66,0.8142240021599244
11,F8,141964.0,154070.0,67,0.9214253261504511
12,F9,77357.0,80703.0,68,0.9585393355885159
13,F10,68740.0,71552.0,69,0.9606999105545617
