,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,A1,31684.0,30968.0,0,1.0231206406613278
1,A2,44854.0,42396.0,1,1.0579771676573262
2,A3,13772.0,15024.0,2,0.9166666666666666
3,A4,87068.0,86632.0,3,1.0050327823437066
4,A5,35397.0,43346.0,4,0.8166151432658146
5,A6,28755.0,29872.0,5,0.9626071237279057
6,A7,41331.0,41841.0,6,0.9878109987810999
7,A8,24635.0,25462.0,7,0.9675202262194643
8,A9,87882.0,86743.0,8,1.0131307425383027
9,A10,51967.0,53270.0,9,0.9755397033977848
10,A11,116622.0,131726.0,10,0.8853377465344731
11,A12,30206.0,30112.0,11,1.0031216790648247
12,B1,33650.0,43299.0,12,0.7771542067946142
13,B2,60397.0,68082.0,13,0.8871214124144414
